,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,Genre
0,57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,6wPXUmYJ9mOWrKlLzZ5cCa,214653,6/27/1980,74,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
4,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,711MCceyCBcFnzjGY4Q7Un,AC/DC,10v912xgTZbjAtYfyKWJCS,208400,7/27/1979,84,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
8,3YBZIN3rekqsKxbJc9FZko,Paradise City,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,3I9Z1nDCL4E0cP62flcbI5,405640,7/21/1987,79,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
12,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,3RGLhK1IP9jnYFH4BRFJBS,The Clash,1ZH5g1RDq3GY1OvyD0w0s2,188986,1982,79,0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
16,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & The Blackhearts,555qwe1qUgLdee80TZ2CQt,175173,11/18/1981,77,0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
19,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,70lQYZtypdCALtFVlQAcvx,333893,10/22/1969,77,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
21,5MxNLUsfh7uzROypsoO5qe,Dream On,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,19lEZSnCCbVEkKchoPQWDZ,266960,1/5/1973,80,0.307,0.433,1,-10.057,1,0.029,0.388,9.08E-05,0.332,0.224,160.9,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
22,0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,58lV9VcRSjABbAbfWS6skp,Bon Jovi,5uU2uM1RGHfzlA12opjqol,249293,1/1/1986,1,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93E-05,0.325,0.72,122.494,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
23,70LcF31zb1H0PyJoS1Sx1r,Creep,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,3gBVdu4a1MMJVMy6vwPEb8,238640,2/22/1993,84,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
25,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',0rvjqX7ttXeg3mTy8Xscbt,Journey,43wpzak9OmQfrjyksuGwp0,250986,1981,82,0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
28,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,0BwWUstDMUbgq2NYONRqlu,257800,2/4/1977,84,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
30,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,4F84IBURUo98rz4r61KF70,The White Stripes,6D9urpsOWWKtYvF6PaorGE,232106,4/1/2003,84,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
31,1Ly0ssAgeM7YqdHptao8Oe,Paranoid,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,1iaBz2uUeN77vNBSVzSYId,168440,3/28/2014,0,0.426,0.619,4,-11.501,0,0.0722,8.44E-05,0.00239,0.17,0.382,162.721,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
33,70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,0Em8m9kRctyH9S3MTXAHvY,230480,7/26/1973,76,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
35,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,30Perjew8HyGkdSmqguYyg,264306,9/24/1991,82,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
39,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,255493,7/25/1980,84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
42,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,0ECwFtbIWEVNwjlrfc6xoL,Eagles,2widuo17g5CEC66IbzveRu,391376,12/8/1976,84,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
44,4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,5rtOJsiDDjA9V5306cyTRS,281147,4/15/1974,1,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
45,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,372cMadhAGlNuDnc8TssqF,160133,12/7/1970,80,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28E-05,0.133,0.774,116.109,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
47,4P5KoWXOxwuobLmHXLMobV,Come As You Are,6olE6TJLqED3rqDCT0FyPh,Nirvana,2guirTSEqLizK7j9i1MTTZ,218920,9/26/1991,75,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
49,63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,1WRM9i067hd2ujxxi8FI3m,Steppenwolf,6GLHwIp1K3u1zdLOdPRG0W,210373,1968,73,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
51,3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,44Ig8dzqOkvkGDzaUof9lK,295386,11/8/1971,75,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
54,2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take - Remastered 2003,5NGO30tJxFlKixkPSgXcFE,The Police,7yDxJXFPl88Dt9kBo0dDD6,253886,6/1/1983,1,0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
56,5BIMPccDwShpXq784RJlJp,Enter Sandman,2ye2Wgw4gimLv2eAKyk1NB,Metallica,6QdCohkHKNTVoaSx1ZzitH,331573,8/12/1991,50,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
57,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,2Q5MwpTmtjscaS34mJFXQQ,222813,7/30/1965,78,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
58,2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,0ETFjACtuP2ADo6LFhL6HN,259946,9/26/1969,79,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
61,4aVuWgvD0X63hcOCnZtNFA,Hold the Line,0PFtn5NtBbbUNbU9EAmIWF,TOTO,1mnu4hYvdwQgZXcNvtJ3D3,235546,10/10/1978,78,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
64,61Q9oJNd9hJQFhSDh6Qlap,House Of The Rising Sun,3ICflSq6ZgYAIrm2CTkfVP,The Animals,0h5qS8o0dAoPfj6bLg3z3Y,269720,1966-02,62,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
66,6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,4dKdxly4ji1vfl7sEYuqBe,350400,10/7/1978,67,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
67,5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,6ozp33PI3p9AdddB6ZL3xQ,258732,10/2/1995,6,0.372,0.865,2,-4.918,1,0.0381,0.000453,0,0.234,0.478,174.53,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
70,5Th6EdNVhxp0TPX41ZLZk6,One Way Or Another - Remastered,4tpUmLEVLCGFr93o8hFFIB,Blondie,4Au1NRTNzdr2GUEUCNctii,212706,1979,55,0.45,0.877,9,-6.403,1,0.0532,0.0118,4.95E-05,0.0699,0.896,162.477,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
71,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,6olE6TJLqED3rqDCT0FyPh,Nirvana,6ohX7moZZnF1FwYrli1OJ6,281160,9/21/1993,79,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
74,7MRyJPksH3G2cXHN8UKYzP,American Girl,4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,6TLTd0P2CUI0Q29AQ1LyFi,214733,11/9/1976,73,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
77,5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,7crPfGd2k81ekOoSqQKWWz,Stevie Nicks,3S404OgKoVQSJ3xXrDVlp8,329413,11/4/2016,62,0.591,0.804,0,-7.299,1,0.0454,0.327,5.98E-06,0.0818,0.658,111.457,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
78,6L89mwZXSOwYl76YXfX13s,Basket Case,7oPftvlwr6VrsViSDV7fJY,Green Day,4uG8q3GPuWHQlRbswMIRS6,181533,2/1/1994,81,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71E-06,0.091,0.781,85.064,37i9dQZF1DWXRqgorJj26U,Rock Classics,Rock
